Location,Address,City,Country,Long,Lat,Description,Photo,Type,LocationURL,Source
State Law Library,"1007 E Grand Ave # 214, Des Moines, IA 50319","Des Moines, IA",US,41.5911805,-93.6062534,"This library in Des Moines, Iowa, provides Iowa lawmakers, government employees, the Iowa legal community, and the general public access to 105,000 volumes of legal treatises on state, federal, regulatory, and case law.

Originally created thanks to an act of Congress in 1838, the law library’s collection moved from location to location until 1886 when it settled on the second floor of the State Capitol Building in Des Moines. The library’s grand hall is intricately decorated in the Victorian style, boasting painted ceilings, stained glass inserts, and book-lined alcoves forty-five feet in height",https://hips.hearstapps.com/hbu.h-cdn.co/assets/16/29/2048x1024/landscape-1468877470-index-iowa-library.jpg?resize=480:*,Library,https://www.statelibraryofiowa.org/services/collections/law-library,Curbed
Seattle Central Library,"1000 4th Ave, Seattle, WA 98104","Seattle, WA",US,47.6067006,-122.3346896,"""The Seattle Public Library's Central Library is the flagship library of The Seattle Public Library system. The 11-story glass and steel building in downtown Seattle, Washington was opened to the public on Sunday, May 23, 2004""",https://upload.wikimedia.org/wikipedia/commons/7/7f/2009-0604-19-SeattleCentralLibrary.jpg,Library,https://www.spl.org/hours-and-locations/central-library,Curbed
"Sawyer Library in Williamstown, Massachusetts","Stetson Hall, 26 Hopkins Hall Dr, Williamstown, MA 01267","Williamstown, MA",US,42.7135533,-73.2042445,"Williams College demolished a 1970s-era library building to make room for the new Sawyer Library, but the architects of the project—Bohlin Cywinski Jackson—also had to incorporate the classical styling of the historic Stetson Hall, built in 1921.

The result cost $66.8 million and is a blend of old and new, with a modern five-story facility housing the new Sawyer Library, the Chapin Library of Rare Books, and the Center for Education Technology. The new section features a central atrium that prioritizes natural light and offers beautiful views of campus.",https://i0.wp.com/www10.aeccafe.com/blogs/arch-showcase/files/2016/04/Williams-Sawyer-Library-1.jpg,Library,https://library.williams.edu/,Curbed
San Francisco Public Library,"100 Larkin St,  94102","San Francisco, CA",US,37.7790819,-122.4179848,"The Main Library of the San Francisco Public Library system opened at its current site in 1996 and features seven floors with two million items. The building was designed by James Ingo Freed of Pei Cobb Freed & Partners (New York) and Cathy Simon of Simon Martin-Vegue Winkelstein & Moris (San Francisco) and represents the largest public/private partnership in the history of San Francisco at a cost of more than $122 million.

The most recognizable feature of the library is a dramatic skylight in the building’s five-story central atrium. Bridges connect the floors across lightwells, and the design includes a grand staircase that rises four stories.",http://sfyouthworks.org/wp-content/uploads/2012/09/34120917.jpg,Library,https://sfpl.org/index.php?pg=0100000101,Curbed
Providence Athenaeum,"251 Benefit St, Providence, RI 02903","Providence, RI",US,41.825788,-71.4085667,"The Providence Athenaeum was founded as ""The Athenaeum"" in 1836 as an independent, member-supported library open to the public. Its progenitors were two earlier libraries: The Providence Library Company, founded in 1753, and the Providence Athenaeum, founded in 1831.",https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2I3ODI2MGQ5YjYxZTFjYzlkZF9Qcm92aWRlbmNlX0F0aGVuYWV1bV9pbnRlcmlvcl8yMDEzLmpwZyJdLFsicCIsInRodW1iIiwieDM5MD4iXSxbInAiLCJjb252ZXJ0IiwiLXF1YWxpdHkgODEgLWF1dG8tb3JpZW50Il1d/Providence_Athenaeum_interior_2013.jpg,Library,https://providenceathenaeum.org/,Business Insider
Phillips Exeter Academy Library,"21 Elm St, Exeter, NH 03833","Exeter, NH",US,42.97882,-70.94957,"Perhaps no space better exemplifies Louis Kahn's masterful exploitation of mass, scale, surface, and emotion than his Phillips Exeter Academy Library. Hiding behind a regimented brick façade is the building's enormous, seventy-foot-tall atrium, lit by upper clerestories and encircled by book-filled balconies. These are framed by gigantic concrete walls, cut with massive circles, which Kahn called ""concrete donuts,"" shielding the library's more than 250,000 books from daylight. The intense shift between the unassuming exterior and breathtaking interior is indicative of Kahn's ability to provide an unexpected visceral experience. Climb the corner stairs to the upper floors and be mesmerised by the changing atrium views and those of the historic campus.",,Library,https://www.exeter.edu/academics/library,Dezeen
New York Public Library,"476 5th Ave, New York, NY 10018","New York, NY",US,40.75312,-74.05264,"Such a beautiful building. You would think you are in Europe and it was built 500 years ago. Oh, and a must visit for Ghostbusters fans.",https://fastly.4sqi.net/img/general/1116x400/19403364_cUJdUzXUYTEjHp4Ds8AEc1svpAKrriwXxUgHdIznVhc.jpg,Library,https://www.nypl.org/,Experience
Library of Congress,"101 Independence Ave SE, Washington, DC 20540","Washington, DC",US,38.888684,-77.0069077,"No round up of the most stunning libraries in the United States would be complete without the Library of Congress in Washington D.C. The largest library in the world, the Library of Congress is housed in three buildings on Capitol Hill.",https://www.loc.gov/portals/static/visit/tours/images/student-tour.jpg,Library,https://www.loc.gov/,Curbed
Lawrence Public Library,"707 Vermont St,  66044","Lawrence, KS",US,38.9708174,-95.239817,"The new design—from the firm Gould Evans—uses glass and terra-cotta to create a welcoming space that’s bright and airy. A wraparound reading room was a major addition, and the renovation also included new communal meeting spaces, a music recording studio, and teen gaming zones. Outside the library, locals can enjoy a butterfly garden in the summer and an ice skating rink in the winter.",https://www.arch2o.com/wp-content/uploads/2017/11/Arch2O-Lawrence-Public-Library-Gould-Evans-017-copy.jpg,Library,https://lplks.org/,Curbed
Homer City Library,"500 Hazel Ave, Homer, AK 99603","Homer, AK",US,59.6438501,-151.5330846,"The Homer Public Library won the 2007 Honor Award, AIA Alaska Chapter, for its modern design and use of local materials.",https://amp.businessinsider.com/images/579bb64add0895ce188b49b0-1920-1440.jpg,Library,https://www.cityofhomer-ak.gov/library,Business Insider
Hillary Rodham Clinton Children's Library & Learning Center,"4800 W 10th St, Little Rock, AR 72204","Little Rock, AR",US,34.7435736,-92.3302518,earned a 2015 AIA/ALA Library Building Award for its glass facade and low carbon footprint.,https://amp.businessinsider.com/images/579bb64add0895ce188b49b2-1334-1001.jpg,Library,https://cals.org/,Business Insider
Hawaii State Public Library,"478 S King St, Honolulu, HI 96813","Honolulu, HI",US,21.30581,-157.8597944,originally funded by Andrew Carnegie and is still expectedly tropical.,https://amp.businessinsider.com/images/579bb64add0895ce188b49b9-1536-1152.jpg,Library,https://www.librarieshawaii.org/,Business Insider
"Harold Washington Library Center, Chicago Public Library","400 S State St, Chicago, IL 60605","Chicago, IL",US,41.8762968,-87.6304166,"As the Chicago Public Library’s main branch, the Harold Washington Library Center broke ground in 1988 after a competition to design a new central library in the South Loop. An 11-member citizen jury selected the design by Thomas Beeby from Hammond, Beeby & Babka, Inc., and the building opened in 1991.",https://americanlibrariesmagazine.org/wp-content/uploads/2017/05/btn1.jpg,Library,https://www.chipublib.org/locations/34/,Curbed
"Geisel Library in San Diego, California","9500 Gilman Dr, La Jolla, CA 92093","La Jolla, CA",US,32.8811507,-117.2396384,"Located at UC San Diego, the Geisel Library was designed in the late 1960s by William Pereira as an eight-story, Brutalist concrete structure. It sits at the head of a canyon near the center of the campus, and the lower two stories form a pedestal for the six-story, stepped tower.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Geisel-Library.jpg/250px-Geisel-Library.jpg,Library,http://libraries.ucsd.edu,Curbed
Fisher Fine Arts Library,"220 S 34th St, Philadelphia, PA 19104","Philadelphia, PA",US,39.9516107,-75.1949582,"""Designed by American architect Frank Furness in 1888, the library at the University of Pennsylvania rejected the popular marble or granite designs of the late nineteenth century in favor of fiery red brick. The building contains a mix of towers, chimneys, and sky-lighted rooms that mimic the factories of downtown Philadelphia.""",http://www.library.upenn.edu/sites/default/files/2017-09/apse.jpg,Library,http://www.library.upenn.edu/finearts,Curbed
Boswell Book Company,"2559 N Downer Ave, Milwaukee, WI 53211","Milwaukee, WI",US,43.0651811,-87.8804485,,https://www.visitmilwaukee.org/remote.jpg.ashx?mode=crop&width=1920&height=1080&scale=both&urlb64=aHR0cDovL3Jlcy5jbG91ZGluYXJ5LmNvbS9zaW1wbGV2aWV3L2ltYWdlL3VwbG9hZC9jX2ZpdCx3XzE5MjAsaF8xMDgwL2NybS9taWx3YXVrZWUvVk1fQm9zd2VsbEJvb2tzX0ludGVyaW9yX01BSU5JTUcwLThmZGEyMTY1NTA1NmEzNl84ZmRhMjI2MS01MDU2LWEzNmYtMjM1M2QyNTA1YmMzNjNhNi5qcGc&hmac=G7L_ZRXwOR4,Bookstore,https://www.boswellbooks.com/opening-letter-0,New York Times
Malaprop's Bookstore/Café,"55 Haywood St, Asheville, NC 28801","Asheville, NC",US,35.5961409,-82.5570433,"the heart and soul of Asheville, N.C., when Asheville was a sleepy little hippie town, and it’s still its heart and soul now that the city is cool and overcrowded, a position Malaprop’s maintained by being unabashedly true to itself.",https://s26162.pcdn.co/wp-content/uploads/2016/11/malaprop.jpg,Bookstore,https://www.malaprops.com/,New York Times
An Unlikely Story,"111 South St, Plainville, MA 02762","Plainville, MA",US,42.0042266,-71.3376491,"On the site of the historic Falk's Market, Julie and Jeff Kinney created a cornerstone in downtown Plainville with an independent bookstore, a café, and an event space. An Unlikely Story Bookstore and Café is a community gathering place for meeting authors, eating breakfast or lunch, or relaxing with a new book and a beer or glass of wine. Directly upstairs to An Unlikely Story is the Second Story. The Second Story hosts community events including readings, jewelry workshops, yoga, karaoke, wine tastings, game nights for families, and is also available for private functions.",https://www.anunlikelystory.com/sites/anunlikelystory.com/files/an-unlikely-story-bookstore-plainville-ma.jpg,Bookstore,http://www.anunlikelystory.com,New York Times
McLean and Eakin,"307 E Lake St, Petoskey, MI 49770","Petoskey, MI",US,45.375061,-84.9589297,proves Northern Michigan has a lot more to offer than cherries and apples,https://s3-media1.fl.yelpcdn.com/bphoto/jqatS0-VYsi0mhXnaGX4Aw/348s.jpg,Bookstore,https://www.mcleanandeakin.com/,New York Times
Book Passage,"51 Tamal Vista Blvd, Corte Madera, CA 94925","Corte Madera, CA",US,37.8645546,-122.5252646,"No bookstore ever made a strip mall look better than Book Passage in Corte Madera, Calif. Every author you could hope to see comes to read at Book Passage.",https://pics.librarything.com/picsizes/a1/d9/a1d9f6678ee09ba636c584d41774259416c6743.jpg,Bookstore,,New York Times
Explore Booksellers ,"221 E Main St, Aspen, CO 81611","Aspen, CO",US,39.1907955,-106.8233186,"And then there’s Explore Booksellers in Aspen, Colo., a town that’s gotten so expensive that the bookstore would have to sell Chanel bags alongside Michael Chabon novels in order to make the rent, so a group of people got together and bought it so that the town could have a bookstore",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRvsr-V5mS0ta1gASgBEfbHRYU7YkW6PEttRVLruIoBEGwNHXK,Bookstore,https://www.explorebooksellers.com/,New York Times
Harward Bookstore,"1256 Massachusetts Ave, Cambridge, MA 02138","Cambridge, MA ",US,42.37255,-71.1184747,"From Harvard Book Store: ""Harvard Book Store is a unique and special place for readers—a locally owned, independently run Cambridge landmark since 1932. We are well known for our award-winning author event series; an extraordinary selection of thoughtfully curated new, used, and remaindered books; and a history of innovation.""",http://wordpress-imageuploads-prod.s3.amazonaws.com/wp-content/uploads/2015/09/IMG_0836.jpg,Bookstore,http://www.harvard.com/index.php?/,New York Times
Crested Butte Library,"507 Maroon Ave, Crested Butte, CO 81224","Crested Butte, CO",US,38.8702845,-106.9856878,"Made of sandstone, the Crested Butte historical library was built in 1883 and was originally used as a two-room schoolhouse.",https://amp.businessinsider.com/images/579bb64add0895ce188b49b4-1920-1440.jpg,Library,https://www.gunnisoncountylibraries.org/crested-butte-library/,Business Insider
Cook William W Legal Research Library,"801 Monroe St, Ann Arbor, MI 48109","Ann Arbor, MI",US,42.2737013,-83.7420261,"The grand building has large spires, stained glass windows, and metal work by the best metal worker of the time, Samuel Yellin. But the most stunning aspect of the library is likely its huge reading room, where large desks, wooden paneling, and elegant chandeliers create a peaceful and elegant hall.",https://lh5.googleusercontent.com/p/AF1QipN7G0kUHbpEReT2zsXjg5HTUQgDSe3LNGRRbzeh=w240-h160-k-no,Library,http://www.law.umich.edu/library/home/Pages/default.aspx,Curbed
Central Boston Public Library,"700 Boylston St, Boston, MA 02116","Boston, MA",US,42.3494163,-71.0810172,"""The crown jewel of the Boston Public Library system, the Central Library is made up of two buildings by Charles Follen McKim and Philip Johnson. The McKim Building in Copley Square was constructed in 1895 and houses a massive reading room—called Bates Hall—that’s full of green lamps and classic wooden tables.""",https://wgbh.brightspotcdn.com/dims4/default/2522535/2147483647/strip/true/crop/640x349+0+55/resize/990x540!/quality/90/?url=http%3A%2F%2Fcdn-news.wgbh.org%2Fs3fs-public%2F640px-Boston_Public_Library_Reading_Room.jpg,Library,https://www.bpl.org/,Curbed
Carnegie Library,"4400 Forbes Ave, Pittsburgh, PA 15213","Pittsburgh, PA",US,40.44362,-79.95073,"""Carnegie Library of Pittsburgh empowers people to transform their lives through life-long learning, digital literacy and connections to others.",,Library,https://www.carnegielibrary.org/,Experience
Billings Public Library,"510 N Broadway, Billings, MT 59101","Billings, MT",US,45.7858608,-108.5126307,"Recently completed in 2015, the architecture team at Will Bruder Architects designed this building to be a sustainable, transparent, and dynamic gathering space for the community. Sitting along Billings’ busy 6th Avenue, the light-filled library cost $20 million to build.

According to the architect, “The library’s architecture is thus a hybrid of both the handsome and beautifully restored 19th century main train depot on Montana Street and the powerful block long warehouse buildings of brick masonry and metal that serve to shelter the transfer of resources at this point of commerce.”",http://willbruderarchitects.com/wp-content/uploads/2015/06/4_EXT-DAY.1.jpg,Library,https://billingslibrary.org/,Curbed
Beinecke Rare Book & Manuscript Library,"121 Wall St, New Haven, CT 06511","New Haven, CT",US,41.3115804,-72.929449,"One of the world’s largest libraries devoted entirely to rare books and manuscripts, the Beinecke Library sits on the Yale University campus. The building—made of Vermont marble and granite, bronze and glass—was designed by Gordon Bunshaft, of Skidmore, Owings and Merrill. Work began on the building in 1960 and was completed in 1963.",https://upload.wikimedia.org/wikipedia/commons/2/2c/Beinecke-Rare-Book-Manuscript-Library-Interior-Yale-University-New-Haven-Connecticut-Apr-2014-a.jpg,Library,https://beinecke.library.yale.edu/,Curbed
Arabian Library,"10215 E McDowell Mountain Ranch Rd, Scottsdale, AZ 85255","Scottsdale, AZ",US,33.6276703,-111.8655795,"Designed by richärd+bauer architects and opened in 2007, this modern library pays homage to Arizona’s desert environment. The sloping angle of the roof line and the earthen and stone roof echo the stone walls of the state’s desert slot canyons. The library’s exterior—made up of weather steel plates—also mimic the color of the terra-cotta walls of stone.",https://images.adsttc.com/media/images/5014/227b/28ba/0d3b/4500/134a/newsletter/stringio.jpg?1414028125,Library,http://www.scottsdalelibrary.org/,Curbed
 The Gulf Gate Library,"7112 Curtiss Ave, Sarasota, FL 34231","Sarasota, FL",US,27.253134,",-82.501906","The Gulf Gate Library in Sarasota opened less than a year ago but has already been recognized by the AIA Florida chapter for its flexible meeting spaces and warm, inviting design.",https://amp.businessinsider.com/images/579bb64add0895ce188b49b7-960-720.jpg,Library,https://www.scgov.net/government/departments/libraries,Business Insider
Cedar Rapids Public Library,"450 5th Ave SE, Cedar Rapids, IA 52401","Cedar Rapids, IA",US,41.9774883,-91.6649015,The Cedar Rapids Public Library was a recipient of the 2015 AIA/ALA Library Building Award for its futuristic exterior design.,https://amp.businessinsider.com/images/579bb64add0895ce188b49bd-1920-1174.jpg,Library,http://www.crlibrary.org/,Business Insider
Louisville Free Public Library,"301 York St, Louisville, KY 40203","Louisville, KY",US,38.2447267,-85.7599928,"The Louisville Free Public Library is the largest public library system in the U.S. state of Kentucky. Officially opened in 1905, the library's main branch is sited at Fourth and York streets, south of Broadway in downtown Louisville.",https://amp.businessinsider.com/images/579bb64add0895ce188b49be-960-640.jpg,Library,http://www.lfpl.org/,Business Insider
The Portland Public Library,"5 Monument Way, Portland, ME 04101",,US,43.6576847,70.2613354,"The Portland Public Library was once a cold and uninviting building, but a new facade installed in 2012 earned it a AIA Maine Honor Award and an AIA New England Design Award.",https://amp.businessinsider.com/images/579bb64add0895ce188b49c0-1920-1440.jpg,Library,https://www.portlandlibrary.com/,Business Insider
Kansas City Public Library,"14 W 10th St, Kansas City, MO 64105","Kansas City, MO",US,39.0594825,-94.5878656,"The Kansas City Public Library features a towering row of famous books on its facade, including ""Catch-22"" and Plato's ""Republic.""",https://amp.businessinsider.com/images/579bb64add0895ce188b49c6-1920-882.jpg,Library,https://www.kclibrary.org/library-locations/central-library,Business Insider
Prim Library,"291 Country Club Dr, Incline Village, NV 89451",,US,39.2432021,-119.9414104,"The Prim Library at Sierra Nevada College, in the town of Incline Village, delivers a rustic feel in the heart of the forest.",https://amp.businessinsider.com/images/579bb64add0895ce188b49c9-750-447.jpg,Library,https://www.sierranevada.edu/academics/prim-library/,Business Insider
"Special Collections and University Archives, Rutgers University Libraries",,,US,,,"At Rutgers University, in New Brunswick, the library was modeled after a 4th-century Roman church and is spread across three levels.",https://amp.businessinsider.com/images/579bb64add0895ce188b49cb-1920-733.jpg,Library,,Business Insider
William Oxley Thompson Library,"1858 Neil Ave, Columbus, OH 43210","Columbus, OH",US,39.9991926,-83.0170512,"Located in Columbus, the palatial William Oxley Thompson Library won the 2011 AIA/ALA Library Building Award.",https://amp.businessinsider.com/images/579bb64add0895ce188b49cf-1920-1440.jpg,Library,https://library.osu.edu/locations/thompson,Business Insider
Metropolitan Library System - Northwest Library,"5600 NW 122nd St, Oklahoma City, OK 73142",,US,35.594165,-97.6200967,"In Oklahoma City the Northwest Library was designed to let in plenty of daylight while staying durable, since it features rooms for storm safety.",https://amp.businessinsider.com/images/579bb64add0895ce188b49d0-1920-1172.jpg,Library,http://www.metrolibrary.org/?utm_source=GMBlisting&utm_medium=organic,Business Insider
,,,US,,,The Free Library of Philadelphia opened in 1894 and has retained its sense of elegance and enormity for more than century.,,Library,,Business Insider
Fleet Library at Rhode Island School of Design,"2437, 15 Westminster St, Providence, RI 02903","Providence, RI",US,41.8253435,-71.4116487,Rhode Island School of Design's Fleet Library relies on a unique mixture of old and new to create a welcoming place to study or read.,https://amp.businessinsider.com/images/579bb64add0895ce188b49d3-750-500.jpg,Library,https://library.risd.edu/,Business Insider
Boston Athenaeum,"10 ½ Beacon St, Boston, MA 02108","Boston, MA",US,42.357945,-71.0642186,"The Boston Athenæum is one of the oldest independent libraries in the United States. It is also one of a number of membership libraries, for which patrons pay a yearly subscription fee to use Athenæum services. The institution was founded in 1807 by the Anthology Club of Boston, Massachusetts",https://cdn10.bostonmagazine.com/wp-content/uploads/sites/2/2016/09/BostonAthenaeum-openhouse.jpg,Library,https://www.bostonathenaeum.org/,Business Insider
"Historical Society of Pennsylvania Library, Philadelphia, 2011","1300 Locust St, Philadelphia, PA 19107","Philadelphia, PA ",US,39.947787,-75.1649207,Center for research & exhibitions dedicated to the history of Philadelphia & the United States.,https://hsp.org/sites/default/files/styles/slideshow/public/styles/slideshow/public/readingroomsignature.jpg,Library,https://hsp.org/,Business Insider
St Helena Library,"6355 Jonathan Francis Senior Rd, St Helena Island, SC 29920","St Helena Island, SC",US,32.3879843,-80.5735319,"In St. Helena Island, the St. Helena Branch Library creates a cozy environment with lattice-enclosed reading spaces inside, and relaxing open spaces outside.",https://www.world-architects.com/images/CmsPageElementImage/32/11/34/5903c894dfb04a71b07f346367d6201c/5903c894dfb04a71b07f346367d6201c.f5fb7444.jpg,Library,https://www.beaufortcountylibrary.org/st-helena-branch,Business Insider
Minneapolis Central Library,"300 Nicollet Mall, Minneapolis, MN 55401","Minneapolis, MN",US,44.9802568,-93.2722223,,http://pcpa.imgix.net/pcpa_assets/2013/07/hennepin-county-library-night.jpg?w=1600&h=1100,Library,https://www.hclib.org/minneapoliscentral,Business Insider
Grolier Book Club,,,US,,,,,Library,http://www.grolierpoetrybookshop.org/,
The Bellevue Library,"720 Baugh Rd, Nashville, TN 37221","Nashville, TN",US,36.0696187,-86.9390925,The Bellevue Library in Nashville won the 2015 AIA Tennessee Merit Award for its flexible design that caters to large groups or intimate gatherings.,https://library.nashville.org/sites/default/files/styles/content_scale/public/field/branch/image/splashimage-blbranch_0.jpg?itok=6QmGOELi,Library,https://library.nashville.org/,Business Insider
McAllen Public Library,"4001 N 23rd St, McAllen, TX 78504","McAllen, TX",US,26.2416408,-98.2445204,"Formerly a Walmart, the McAllen Public Library gives kids ample room to roam around and find secret hiding spots to read.",https://manana.blob.core.windows.net.optimalcdn.com/images/2015/07/18/amenidades-focus-0-0-628-524.jpg,Library,http://www.mcallenlibrary.net/,Business Insider
Salt Lake City Public Library,"210 E 400 S, Salt Lake City, UT 84111","Salt Lake City, UT",US,40.7525573,-111.9484824,"Built in 2003, Salt Lake City's Main Library could pass as a sunlit shopping mall, were it not for the many shelves of books.",https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/Salt_Lake_City_Public_Library_Intern.jpg/220px-Salt_Lake_City_Public_Library_Intern.jpg,Library,https://www.slcpl.org/,Business Insider
Slover Library,"235 E Plume St, Norfolk, VA 23510",,US,36.846621,-76.2926215,,https://www.norfolkpubliclibrary.org/Home/ShowImage?id=975&t=635545967695470000,Library,http://www.sloverlibrary.com/,Business Insider
Sublette County Public Library,"155 S Tyler Ave, Pinedale, WY 82941",,US,42.8646674,-109.8634652,,http://www.visitpinedale.org/cache/made/images/content/pinedale/public-library/library-3_760_507_76auto.jpg,Library,http://sublettecountylibrary.org/,Business Insider
Ulises,"31 E Columbia Ave
",,,,,,,,http://ulises.us/,
"
Taschen","107 Greene St, New York, NY 10012","New York, NY",US,40.7246706,-74.0020441,German art-book publisher's bright boutique & gallery designed by Phillipe Starck,https://www.taschen.com/media/images/960/store_ny_001_1509221413_id_163475.jpg,Bookstore,https://www.google.com/search?q=tashen+nyc&oq=tashen+nyc&aqs=chrome..69i57j0l4.1953j1j1&sourceid=chrome&ie=UTF-8,Experience
Rizzoli Bookstore,"1133 Broadway, New York, NY 10010","New York, NY",US,40.7435735,-73.9913696,"When you enter the newly minted Rizzoli’s on Broadway, it feels more like the 42 nd Street library than a bookstore. With its high ceilings and neatly-organized bookshelves, it offers a variety of subject headings: literature, photography, furniture, architecture, gardening. Upholstered chairs dot the bookstore, primed for comfort and reading.",https://www.rizzolibookstore.com/sites/rizzolibookstore.com/files/Rizzoli-02.jpg?1446131237,Bookstore,https://www.rizzolibookstore.com/,Experience
Albertine,"972 5th Ave (Between 78th & 79th Streets), New York, NY","New York, NY",US,40.7765759,-73.9659559,Gorgeous bookstore with a wonderful selection of books in French and French books in English translation. Awesome cultural events in the evening.,https://blog.fschumacher.com/wp-content/uploads/2015/11/albertine.jpeg,Bookstore,https://www.albertine.com/,Experience
Three Lives & Company,"154 W 10th St, New York, NY 10014","New York, NY",US,40.734355,-74.0036767,"In a city full of fantastic independent bookstores, this one has the most character. Also, in some kind of superhuman feat, the staff almost always have read everything in stock.",https://www.threelives.com/art/winterstore.jpg,Bookstore,http://www.threelives.com/,Experience
Books are Magic,"225 Smith St, Brooklyn, NY 11231","New York, NY",US,40.6839955,-73.9942646,Beautiful store. Well curated,https://www.booksaremagic.net/,Bookstore,https://www.booksaremagic.net/,Experience
192 Books,"192 10th Ave, New York, NY 10011","New York, NY",US,40.7466065,-74.0069561,"Inside, the quiet Chelsea shop sells a curated but varied selection of books on literary fiction, film, photography, history, and even science—which you can browse through while watching people-watching through the wide windows. ",https://www.sara-novic.com/uploads/2/1/1/6/21165110/7955826_orig.jpg,Bookstore,http://www.192books.com/,Experience
The Corner Bookstore,"1313 Madison Ave, New York, NY 10128","New York, NY",US,40.7851492,-73.957692,"New York City, land of skyrocketing rents and ubiquitous nail salons, has some of the best tiny bookstores in the world",http://cornerbookstorenyc.com/wp-content/uploads/2011/12/Storefront-768x515.jpg,Bookstore,http://cornerbookstorenyc.com/,Experience
Provincetown Bookshop,"246 Commercial St, Provincetown, MA 02657","Provincetown, MA",US,42.0506077,70.1901375,That essential last stop before hitting the beach. ,https://ghadaevoradesign.files.wordpress.com/2012/07/img_3146.jpg,Bookstore,"https://www.facebook.com › Places › Provincetown, Massachusetts › Bookstore",New York Times
Birchbark Books & Native Arts,"2115 W 21st St, Minneapolis, MN 55405","Minneapolis, MN",,44.9616189,-93.310184,"The novelist Louise Erdrich owns the tiny Birchbark Books in Minneapolis, a store that uses a chunk of its limited space to display an elaborately carved confessional box. You’ll wish every bookstore had one.",https://birchbarkbooks.com/Images/WebPages/HomePage/storefront.jpg,Bookstore,https://birchbarkbooks.com/,New York Times
Newtonville Books,"10 Langley Rd, Newton, MA 02459",,,42.3312494,-71.1960316,"Independent bookstore hosting readings & release parties, plus events for young readers.",https://www.newtonvillebooks.com/cms/wp-content/uploads/2016/11/112016_winter_front_store.jpg,Bookstore,https://www.newtonvillebooks.com/cms/,New York Times